fiscal_year,doc_type,file_name,split_pdf_page,source_pdf_page,printed_page,char_count,low_text_flag,extraction_method,ocr_char_count
2022,plan,2022년도 성과계획서_과학기술정보통신부-459-546.pdf,1,459,451,66,True,TEXT,
2022,plan,2022년도 성과계획서_과학기술정보통신부-459-546.pdf,2,460,452,7,True,TEXT,
2022,plan,2022년도 성과계획서_과학기술정보통신부-459-546.pdf,3,461,453,9,True,TEXT,
2022,plan,2022년도 성과계획서_과학기술정보통신부-459-546.pdf,4,462,454,7,True,TEXT,
2022,plan,2022년도 성과계획서_과학기술정보통신부-459-546.pdf,5,463,455,7,True,TEXT,
2022,plan,2022년도 성과계획서_과학기술정보통신부-459-546.pdf,6,464,456,7,True,TEXT,
2022,plan,2022년도 성과계획서_과학기술정보통신부-459-546.pdf,7,465,457,39,True,TEXT,
2022,plan,2022년도 성과계획서_과학기술정보통신부-459-546.pdf,8,466,458,7,True,TEXT,
2022,plan,2022년도 성과계획서_과학기술정보통신부-459-546.pdf,9,467,459,7,True,TEXT,
2022,plan,2022년도 성과계획서_과학기술정보통신부-459-546.pdf,10,468,460,7,True,TEXT,
2022,plan,2022년도 성과계획서_과학기술정보통신부-459-546.pdf,11,469,461,7,True,TEXT,
2022,plan,2022년도 성과계획서_과학기술정보통신부-459-546.pdf,12,470,462,7,True,TEXT,
2022,plan,2022년도 성과계획서_과학기술정보통신부-459-546.pdf,13,471,463,7,True,TEXT,
2022,plan,2022년도 성과계획서_과학기술정보통신부-459-546.pdf,14,472,464,7,True,TEXT,
2022,plan,2022년도 성과계획서_과학기술정보통신부-459-546.pdf,15,473,465,7,True,TEXT,
2022,plan,2022년도 성과계획서_과학기술정보통신부-459-546.pdf,16,474,466,894,False,TEXT,
2022,plan,2022년도 성과계획서_과학기술정보통신부-459-546.pdf,17,475,467,1133,False,TEXT,
2022,plan,2022년도 성과계획서_과학기술정보통신부-459-546.pdf,18,476,468,792,False,TEXT,
2022,plan,2022년도 성과계획서_과학기술정보통신부-459-546.pdf,19,477,469,862,False,TEXT,
2022,plan,2022년도 성과계획서_과학기술정보통신부-459-546.pdf,20,478,470,800,False,TEXT,
2022,plan,2022년도 성과계획서_과학기술정보통신부-459-546.pdf,21,479,471,865,False,TEXT,
2022,plan,2022년도 성과계획서_과학기술정보통신부-459-546.pdf,22,480,472,846,False,TEXT,
2022,plan,2022년도 성과계획서_과학기술정보통신부-459-546.pdf,23,481,473,936,False,TEXT,
2022,plan,2022년도 성과계획서_과학기술정보통신부-459-546.pdf,24,482,474,812,False,TEXT,
2022,plan,2022년도 성과계획서_과학기술정보통신부-459-546.pdf,25,483,475,835,False,TEXT,
2022,plan,2022년도 성과계획서_과학기술정보통신부-459-546.pdf,26,484,476,965,False,TEXT,
2022,plan,2022년도 성과계획서_과학기술정보통신부-459-546.pdf,27,485,477,1005,False,TEXT,
2022,plan,2022년도 성과계획서_과학기술정보통신부-459-546.pdf,28,486,478,826,False,TEXT,
2022,plan,2022년도 성과계획서_과학기술정보통신부-459-546.pdf,29,487,479,814,False,TEXT,
2022,plan,2022년도 성과계획서_과학기술정보통신부-459-546.pdf,30,488,480,1021,False,TEXT,
2022,plan,2022년도 성과계획서_과학기술정보통신부-459-546.pdf,31,489,481,983,False,TEXT,
2022,plan,2022년도 성과계획서_과학기술정보통신부-459-546.pdf,32,490,482,1183,False,TEXT,
2022,plan,2022년도 성과계획서_과학기술정보통신부-459-546.pdf,33,491,483,1169,False,TEXT,
2022,plan,2022년도 성과계획서_과학기술정보통신부-459-546.pdf,34,492,484,1073,False,TEXT,
2022,plan,2022년도 성과계획서_과학기술정보통신부-459-546.pdf,35,493,485,920,False,TEXT,
2022,plan,2022년도 성과계획서_과학기술정보통신부-459-546.pdf,36,494,486,840,False,TEXT,
2022,plan,2022년도 성과계획서_과학기술정보통신부-459-546.pdf,37,495,487,870,False,TEXT,
2022,plan,2022년도 성과계획서_과학기술정보통신부-459-546.pdf,38,496,488,828,False,TEXT,
