fiscal_year,doc_type,file_name,split_pdf_page,source_pdf_page,printed_page,char_count,low_text_flag,extraction_method,ocr_char_count
2022,plan,2022년도 성과계획서_보건복지부-323-433.pdf,1,323,,59,True,TEXT,
2022,plan,2022년도 성과계획서_보건복지부-323-433.pdf,2,324,,0,True,TEXT,
2022,plan,2022년도 성과계획서_보건복지부-323-433.pdf,3,325,,0,True,TEXT,
2022,plan,2022년도 성과계획서_보건복지부-323-433.pdf,4,326,,0,True,TEXT,
2022,plan,2022년도 성과계획서_보건복지부-323-433.pdf,5,327,,34,True,TEXT,
2022,plan,2022년도 성과계획서_보건복지부-323-433.pdf,6,328,,0,True,TEXT,
2022,plan,2022년도 성과계획서_보건복지부-323-433.pdf,7,329,,0,True,TEXT,
2022,plan,2022년도 성과계획서_보건복지부-323-433.pdf,8,330,,0,True,TEXT,
2022,plan,2022년도 성과계획서_보건복지부-323-433.pdf,9,331,,3,True,TEXT,
2022,plan,2022년도 성과계획서_보건복지부-323-433.pdf,10,332,,0,True,TEXT,
2022,plan,2022년도 성과계획서_보건복지부-323-433.pdf,11,333,,846,False,TEXT,
2022,plan,2022년도 성과계획서_보건복지부-323-433.pdf,12,334,,937,False,TEXT,
2022,plan,2022년도 성과계획서_보건복지부-323-433.pdf,13,335,,886,False,TEXT,
2022,plan,2022년도 성과계획서_보건복지부-323-433.pdf,14,336,,982,False,TEXT,
2022,plan,2022년도 성과계획서_보건복지부-323-433.pdf,15,337,,913,False,TEXT,
2022,plan,2022년도 성과계획서_보건복지부-323-433.pdf,16,338,,863,False,TEXT,
2022,plan,2022년도 성과계획서_보건복지부-323-433.pdf,17,339,,908,False,TEXT,
2022,plan,2022년도 성과계획서_보건복지부-323-433.pdf,18,340,,825,False,TEXT,
2022,plan,2022년도 성과계획서_보건복지부-323-433.pdf,19,341,,888,False,TEXT,
2022,plan,2022년도 성과계획서_보건복지부-323-433.pdf,20,342,,842,False,TEXT,
2022,plan,2022년도 성과계획서_보건복지부-323-433.pdf,21,343,,783,False,TEXT,
2022,plan,2022년도 성과계획서_보건복지부-323-433.pdf,22,344,,787,False,TEXT,
2022,plan,2022년도 성과계획서_보건복지부-323-433.pdf,23,345,,808,False,TEXT,
2022,plan,2022년도 성과계획서_보건복지부-323-433.pdf,24,346,,887,False,TEXT,
2022,plan,2022년도 성과계획서_보건복지부-323-433.pdf,25,347,,806,False,TEXT,
2022,plan,2022년도 성과계획서_보건복지부-323-433.pdf,26,348,,933,False,TEXT,
2022,plan,2022년도 성과계획서_보건복지부-323-433.pdf,27,349,,902,False,TEXT,
2022,plan,2022년도 성과계획서_보건복지부-323-433.pdf,28,350,,977,False,TEXT,
2022,plan,2022년도 성과계획서_보건복지부-323-433.pdf,29,351,,921,False,TEXT,
