candidate_id,ministry_code,field_name,sector_name,program_code,fiscal_year,account_type,performance_program_name,priority_tier,priority_reason,account_original_budget,performance_gap,execution_management,budget_performance_mismatch,fiscal_impact,rank_equal,rank_performance_focus,rank_execution_focus,rank_fiscal_impact_adjusted,mean_scenario_rank,scenario_rank_std,best_scenario_rank,worst_scenario_rank,scenario_rank_range,rank_within_ministry_equal,rank_within_ministry_performance_focus,rank_within_ministry_execution_focus,rank_within_ministry_fiscal_impact_adjusted,mean_scenario_rank_within_ministry,scenario_rank_std_within_ministry,best_scenario_rank_within_ministry,worst_scenario_rank_within_ministry,scenario_rank_range_within_ministry,top_5_scenario_count,all_scenario_top_5,top_5_scenario_count_within_ministry,all_scenario_top_5_within_ministry,top_10_scenario_count,all_scenario_top_10,top_10_scenario_count_within_ministry,all_scenario_top_10_within_ministry,exploratory_consensus_order
162:2022:과학기술:과학기술인력및문화:1800:GENERAL_ACCOUNT,162,과학기술,과학기술인력및문화,1800,2022,GENERAL_ACCOUNT,과학문화창달,MODERATE_OR_CONTEXT_REVIEW,EXECUTION_MANAGEMENT,66321000000,0.0,0.2113206978181873,0.0,0.3953488372093023,189.0,185.0,118.0,180.0,168.0,29.04307146291521,118.0,189.0,71.0,44.0,42.0,24.0,42.0,38.0,8.12403840463596,24.0,44.0,20.0,0,False,0,False,0,False,0,False,181
162:2024:통신:정보통신:2200:FUND,162,통신,정보통신,2200,2024,FUND,SW산업진흥,MODERATE_OR_CONTEXT_REVIEW,BUDGET_PERFORMANCE_MISMATCH,353937000000,0.0,0.0,0.0015822024823626804,0.7372262773722628,159.0,194.0,199.0,127.0,169.75,29.09789511287715,127.0,199.0,72.0,32.0,43.0,44.0,22.0,35.25,8.98262211161084,22.0,44.0,22.0,0,False,0,False,0,False,0,False,182
075:2024:보건:보건의료:2800:FUND,075,보건,보건의료,2800,2024,FUND,응급의료체계운영지원,MODERATE_OR_CONTEXT_REVIEW,EXECUTION_MANAGEMENT,278809000000,0.0,0.02043872328368166,0.0,0.7007299270072993,165.0,193.0,190.0,133.0,170.25,24.097458372201825,133.0,193.0,60.0,71.0,73.0,74.0,57.0,68.75,6.869315832017044,57.0,74.0,17.0,0,False,0,False,0,False,0,False,183
162:2024:통신:방송통신:2500:FUND,162,통신,방송통신,2500,2024,FUND,전파활용방송서비스산업,MULTIPLE_SIGNAL_REVIEW,EXECUTION_MANAGEMENT;BUDGET_PERFORMANCE_MISMATCH,21614000000,0.0,0.2671185342833349,0.04770056444896826,0.22627737226277372,199.0,182.0,100.0,202.0,170.75,41.55342946135734,100.0,202.0,102.0,48.0,44.0,20.0,52.0,41.0,12.449899597988733,20.0,52.0,32.0,0,False,0,False,0,False,0,False,184
075:2024:보건:보건의료:2700:GENERAL_ACCOUNT,075,보건,보건의료,2700,2024,GENERAL_ACCOUNT,공공보건의료확충,MULTIPLE_SIGNAL_REVIEW,EXECUTION_MANAGEMENT;BUDGET_PERFORMANCE_MISMATCH;ACCOUNTING_ADJUSTMENT_CONTEXT,177230000000,0.0,0.017866614004401062,0.07310274784178751,0.6131386861313869,169.0,187.0,186.0,145.0,171.75,17.020208576865326,145.0,187.0,42.0,75.0,74.0,76.0,70.0,73.75,2.277608394786075,70.0,76.0,6.0,0,False,0,False,0,False,0,False,185
075:2023:사회복지:사회복지일반:2600:GENERAL_ACCOUNT,075,사회복지,사회복지일반,2600,2023,GENERAL_ACCOUNT,사회복지기반조성,MODERATE_OR_CONTEXT_REVIEW,EXECUTION_MANAGEMENT;ACCOUNTING_ADJUSTMENT_CONTEXT,201741000000,0.0,0.05671132789071136,0.0,0.6231884057971014,175.0,195.0,177.0,148.0,173.75,16.78354849249705,148.0,195.0,47.0,74.0,75.0,71.0,68.0,72.0,2.738612787525829,68.0,75.0,7.0,0,False,0,False,0,False,0,False,186
075:2023:보건:보건의료:2800:FUND,075,보건,보건의료,2800,2023,FUND,응급의료체계운영지원,MODERATE_OR_CONTEXT_REVIEW,EXECUTION_MANAGEMENT,248941000000,0.0,0.028585086426100963,0.0,0.6594202898550725,172.0,196.0,191.0,143.0,175.5,20.790622886291793,143.0,196.0,53.0,73.0,76.0,75.0,64.0,72.0,4.74341649025257,64.0,76.0,12.0,0,False,0,False,0,False,0,False,187
019:2022:사회복지:고용:1300:GENERAL_ACCOUNT,019,사회복지,고용,1300,2022,GENERAL_ACCOUNT,고용평등증진,MODERATE_OR_CONTEXT_REVIEW,PERFORMANCE_BELOW_TARGET;PROGRAM_STRUCTURE_CONTEXT,66040000000,0.2,0.0,0.0,0.3875968992248062,193.0,143.0,195.0,184.0,178.75,21.05201890555868,143.0,195.0,52.0,36.0,31.0,38.0,35.0,35.0,2.5495097567963922,31.0,38.0,7.0,0,False,0,False,0,False,0,False,188
162:2024:통신:정보통신:2600:GENERAL_ACCOUNT,162,통신,정보통신,2600,2024,GENERAL_ACCOUNT,인공지능데이터진흥,MODERATE_OR_CONTEXT_REVIEW,BUDGET_PERFORMANCE_MISMATCH,235840000000,0.0,0.0,0.0020352781546811396,0.6788321167883211,174.0,198.0,205.0,141.0,179.5,25.024987512484397,141.0,205.0,64.0,34.0,46.0,46.0,27.0,38.25,8.13557004763649,27.0,46.0,19.0,0,False,0,False,0,False,0,False,189
019:2023:사회복지:노동:3000:GENERAL_ACCOUNT,019,사회복지,노동,3000,2023,GENERAL_ACCOUNT,근로조건보호및복지증진,MODERATE_OR_CONTEXT_REVIEW,EXECUTION_MANAGEMENT,63169000000,0.0,0.14125599582073486,0.0,0.41304347826086957,197.0,197.0,150.0,185.0,182.25,19.253246479490155,150.0,197.0,47.0,34.0,37.0,26.0,34.0,32.75,4.085033659592049,26.0,37.0,11.0,0,False,0,False,0,False,0,False,190
162:2024:과학기술:과학기술연구개발:1100:SPECIAL_ACCOUNT,162,과학기술,과학기술연구개발,1100,2024,SPECIAL_ACCOUNT,미래유망원천기술개발,MODERATE_OR_CONTEXT_REVIEW,BUDGET_PERFORMANCE_MISMATCH,234200000000,0.0,0.0,0.0012809564474807857,0.6715328467153284,177.0,202.0,207.0,144.0,182.5,24.964975465639856,144.0,207.0,63.0,35.0,47.0,48.0,29.0,39.75,8.042853971072706,29.0,48.0,19.0,0,False,0,False,0,False,0,False,191
075:2024:사회복지:사회복지일반:2600:GENERAL_ACCOUNT,075,사회복지,사회복지일반,2600,2024,GENERAL_ACCOUNT,사회복지기반조성,MODERATE_OR_CONTEXT_REVIEW,EXECUTION_MANAGEMENT;ACCOUNTING_ADJUSTMENT_CONTEXT,199538000000,0.0,0.026481171506179273,0.0,0.6277372262773723,182.0,200.0,198.0,151.0,182.75,19.613452016409557,151.0,200.0,49.0,77.0,78.0,77.0,72.0,76.0,2.3452078799117135,72.0,78.0,6.0,0,False,0,False,0,False,0,False,192
075:2024:사회복지:노인:2200:FUND,075,사회복지,노인,2200,2024,FUND,노인의료보장,MODERATE_OR_CONTEXT_REVIEW,EXECUTION_MANAGEMENT;PROGRAM_STRUCTURE_CONTEXT,200322000000,0.0,0.02079901358812312,0.0,0.635036496350365,181.0,201.0,200.0,149.0,182.75,21.05201890555868,149.0,201.0,52.0,76.0,77.0,78.0,69.0,75.0,3.5355339059327378,69.0,78.0,9.0,0,False,0,False,0,False,0,False,193
019:2023:사회복지:고용:1300:GENERAL_ACCOUNT,019,사회복지,고용,1300,2023,GENERAL_ACCOUNT,고용평등증진,MODERATE_OR_CONTEXT_REVIEW,PERFORMANCE_BELOW_TARGET;PROGRAM_STRUCTURE_CONTEXT,40333000000,0.25,0.0,0.0,0.2826086956521739,201.0,139.0,196.0,197.0,183.25,25.616157010761786,139.0,201.0,62.0,33.0,29.0,36.0,36.0,33.5,2.8722813232690148,29.0,36.0,7.0,0,False,0,False,0,False,0,False,194
162:2023:과학기술:과학기술인력및문화:1700:SPECIAL_ACCOUNT,162,과학기술,과학기술인력및문화,1700,2023,SPECIAL_ACCOUNT,과학기술인력양성,MODERATE_OR_CONTEXT_REVIEW,PERFORMANCE_BELOW_TARGET,8980000000,0.3333333333333333,0.0,0.0,0.13043478260869565,206.0,132.0,193.0,215.0,186.5,32.42298567374695,132.0,215.0,83.0,56.0,23.0,49.0,60.0,47.0,14.404860290887935,23.0,60.0,37.0,0,False,0,False,0,False,0,False,195
162:2023:과학기술:과학기술연구개발:1400:FUND,162,과학기술,과학기술연구개발,1400,2023,FUND,원자력 진흥,MODERATE_OR_CONTEXT_REVIEW,EXECUTION_MANAGEMENT,146293000000,0.0,0.0563936757056045,0.0,0.5507246376811594,188.0,204.0,187.0,168.0,186.75,12.754901018824098,168.0,204.0,36.0,39.0,48.0,40.0,37.0,41.0,4.183300132670378,37.0,48.0,11.0,0,False,0,False,0,False,0,False,196
102:2024:산업·중소기업및에너지:중소기업및소상공인육성:5400:FUND,102,산업·중소기업및에너지,중소기업및소상공인육성,5400,2024,FUND,중소기업인력지원,MULTIPLE_SIGNAL_REVIEW,EXECUTION_MANAGEMENT;BUDGET_PERFORMANCE_MISMATCH,35542000000,0.0,0.19118226323785945,0.004670530639806427,0.2773722627737226,204.0,203.0,137.0,205.0,187.25,29.020466915609752,137.0,205.0,68.0,38.0,38.0,28.0,38.0,35.5,4.330127018922193,28.0,38.0,10.0,0,False,0,False,0,False,0,False,197
162:2024:과학기술:과학기술연구개발:1400:FUND,162,과학기술,과학기술연구개발,1400,2024,FUND,원자력 진흥,MODERATE_OR_CONTEXT_REVIEW,EXECUTION_MANAGEMENT,125611000000,0.0,0.049677177954160066,0.0,0.5547445255474452,191.0,205.0,189.0,167.0,188.0,13.601470508735444,167.0,205.0,38.0,40.0,49.0,41.0,36.0,41.5,4.7169905660283025,36.0,49.0,13.0,0,False,0,False,0,False,0,False,198
162:2022:과학기술:과학기술인력및문화:2200:RESPONSIBLE_OPERATION_ACCOUNT,162,과학기술,과학기술인력및문화,2200,2022,RESPONSIBLE_OPERATION_ACCOUNT,국립중앙과학관 운영,MODERATE_OR_CONTEXT_REVIEW,PERFORMANCE_BELOW_TARGET;PROGRAM_STRUCTURE_CONTEXT;LOW_PERFORMANCE_BUDGET_INCREASE_T1;LOW_PERFORMANCE_BUDGET_INCREASE_T2,10069000000,0.3333333333333333,0.0,0.0,0.12403100775193798,208.0,134.0,194.0,217.0,188.25,32.37572393013012,134.0,217.0,83.0,52.0,22.0,47.0,57.0,44.5,13.46291201783626,22.0,57.0,35.0,0,False,0,False,0,False,0,False,199
019:2023:사회복지:고용:1300:SPECIAL_ACCOUNT,019,사회복지,고용,1300,2023,SPECIAL_ACCOUNT,고용평등증진,MODERATE_OR_CONTEXT_REVIEW,PERFORMANCE_BELOW_TARGET;PROGRAM_STRUCTURE_CONTEXT,25696000000,0.25,0.0,0.0,0.21739130434782608,205.0,140.0,202.0,212.0,189.75,28.951468011138914,140.0,212.0,72.0,39.0,30.0,37.0,38.0,36.0,3.5355339059327373,30.0,39.0,9.0,0,False,0,False,0,False,0,False,200
019:2024:사회복지:노동:3000:GENERAL_ACCOUNT,019,사회복지,노동,3000,2024,GENERAL_ACCOUNT,근로조건보호및복지증진,MODERATE_OR_CONTEXT_REVIEW,EXECUTION_MANAGEMENT;ACCOUNTING_ADJUSTMENT_CONTEXT,62340000000,0.0,0.10290343278793712,0.0,0.4306569343065693,200.0,207.0,170.0,187.0,191.0,14.089002803605373,170.0,207.0,37.0,40.0,39.0,33.0,37.0,37.25,2.680951323690903,33.0,40.0,7.0,0,False,0,False,0,False,0,False,201
162:2023:통신:정보통신:2100:GENERAL_ACCOUNT,162,통신,정보통신,2100,2023,GENERAL_ACCOUNT,정보통신융합산업,MODERATE_OR_CONTEXT_REVIEW,BUDGET_PERFORMANCE_MISMATCH,165554000000,0.0,0.0,0.03324594996194595,0.572463768115942,190.0,206.0,208.0,164.0,192.0,17.60681686165901,164.0,208.0,44.0,38.0,50.0,50.0,34.0,43.0,7.14142842854285,34.0,50.0,16.0,0,False,0,False,0,False,0,False,202
019:2023:사회복지:노동:4100:GENERAL_ACCOUNT,019,사회복지,노동,4100,2023,GENERAL_ACCOUNT,산업재해예방,MODERATE_OR_CONTEXT_REVIEW,PERFORMANCE_BELOW_TARGET,4629000000,0.3333333333333333,0.0,0.0,0.06521739130434782,214.0,135.0,201.0,225.0,193.75,34.966948680146515,135.0,225.0,90.0,37.0,25.0,34.0,40.0,34.0,5.612486080160912,25.0,40.0,15.0,0,False,0,False,0,False,0,False,203
162:2024:통신:정보통신:2100:GENERAL_ACCOUNT,162,통신,정보통신,2100,2024,GENERAL_ACCOUNT,정보통신융합산업,MODERATE_OR_CONTEXT_REVIEW,BUDGET_PERFORMANCE_MISMATCH,138052000000,0.0,0.0,0.017239880624692144,0.5766423357664233,192.0,208.0,211.0,166.0,194.25,17.83781096435322,166.0,211.0,45.0,37.0,51.0,51.0,32.0,42.75,8.437268515343103,32.0,51.0,19.0,0,False,0,False,0,False,0,False,204
162:2024:문화및관광:문화예술:1600:FUND,162,문화및관광,문화예술,1600,2024,FUND,정보통신방송기반조성,MODERATE_OR_CONTEXT_REVIEW,BUDGET_PERFORMANCE_MISMATCH;ACCOUNTING_ADJUSTMENT_CONTEXT,14763000000,0.0,0.0,0.3409198672356567,0.18248175182481752,202.0,181.0,185.0,211.0,194.75,12.255100978776143,181.0,211.0,30.0,51.0,45.0,45.0,56.0,49.25,4.602988159880492,45.0,56.0,11.0,0,False,0,False,0,False,0,False,205
102:2023:산업·중소기업및에너지:중소기업및소상공인육성:3300:SPECIAL_ACCOUNT,102,산업·중소기업및에너지,중소기업및소상공인육성,3300,2023,SPECIAL_ACCOUNT,지역중소기업육성,MODERATE_OR_CONTEXT_REVIEW,BUDGET_PERFORMANCE_MISMATCH,77979000000,0.0,0.0,0.11591582349093987,0.4492753623188406,196.0,199.0,206.0,179.0,195.0,9.924716620639604,179.0,206.0,27.0,37.0,39.0,39.0,34.0,37.25,2.046338192968113,34.0,39.0,5.0,0,False,0,False,0,False,0,False,206
162:2024:통신:정보통신:2300:GENERAL_ACCOUNT,162,통신,정보통신,2300,2024,GENERAL_ACCOUNT,정보보호및활용,MODERATE_OR_CONTEXT_REVIEW,BUDGET_PERFORMANCE_MISMATCH,127718000000,0.0,0.0,0.004384659953961071,0.5693430656934306,195.0,209.0,212.0,170.0,196.5,16.59066002303706,170.0,212.0,42.0,41.0,52.0,52.0,35.0,45.0,7.314369419163897,35.0,52.0,17.0,0,False,0,False,0,False,0,False,207
162:2023:과학기술:과학기술인력및문화:2300:RESPONSIBLE_OPERATION_ACCOUNT,162,과학기술,과학기술인력및문화,2300,2023,RESPONSIBLE_OPERATION_ACCOUNT,국립과천과학관운영,MODERATE_OR_CONTEXT_REVIEW,PERFORMANCE_BELOW_TARGET;PROGRAM_STRUCTURE_CONTEXT;LOW_PERFORMANCE_BUDGET_INCREASE_T1,2994000000,0.3333333333333333,0.0,0.0,0.043478260869565216,217.0,137.0,203.0,229.0,196.5,35.563323804166565,137.0,229.0,92.0,59.0,24.0,53.0,67.0,50.75,16.223054582907622,24.0,67.0,43.0,0,False,0,False,0,False,0,False,208
102:2023:산업·중소기업및에너지:중소기업및소상공인육성:4800:FUND,102,산업·중소기업및에너지,중소기업및소상공인육성,4800,2023,FUND,중소기업육성지원,MODERATE_OR_CONTEXT_REVIEW,PERFORMANCE_BELOW_TARGET,1948000000,0.3333333333333333,0.0,0.0,0.028985507246376812,219.0,138.0,204.0,230.0,197.75,35.70976757135224,138.0,230.0,92.0,39.0,32.0,38.0,40.0,37.25,3.1124748994971827,32.0,40.0,8.0,0,False,0,False,0,False,0,False,209
