source_indicator_id,ministry_code,ministry_name,fiscal_year,strategic_goal_number,program_goal_number,source_program_code,performance_program_name,manual_indicator_name_plan,manual_indicator_name_report,manual_indicator_unit,manual_indicator_direction_raw,manual_planned_target_raw,manual_actual_value_raw,manual_official_achievement_rate_raw,pdf_plan_program_name,pdf_plan_indicator_name,pdf_plan_unit,pdf_plan_direction_raw,pdf_plan_target_raw,documented_change_target_before_raw,documented_change_target_after_raw,documented_change_reason_raw,documented_change_source_file,documented_change_split_pdf_page,documented_change_source_pdf_page,documented_change_printed_page,documented_change_ocr_conflict,documented_change_report_conflict,pdf_report_program_name,pdf_report_indicator_name,pdf_report_unit,pdf_report_target_raw,pdf_report_actual_raw,pdf_report_official_achievement_rate_raw,planned_target_numeric_manual,planned_target_numeric_pdf,report_target_numeric_pdf,actual_value_numeric_manual,actual_value_numeric_pdf,official_achievement_rate_numeric_manual,official_achievement_rate_numeric_pdf,computed_achievement_rate,plan_target_change_abs,plan_target_change_pct,report_target_change_abs,report_target_change_pct,report_actual_change_abs,report_actual_change_pct,report_achievement_rate_change_abs_pp,plan_vs_report_target_change_abs,plan_vs_report_target_change_pct,plan_name_match_status,plan_target_match_status,report_name_match_status,report_target_match_status,report_actual_match_status,report_achievement_rate_match_status,page_evidence_status,ocr_status,overall_reconciliation_status,review_reason,review_instruction,reviewer,review_status,review_note,review_confirmed_at,plan_source_file,plan_split_pdf_page,plan_source_pdf_page,plan_printed_page,plan_source_text,report_source_file,report_split_pdf_page,report_source_pdf_page,report_printed_page,report_source_text,source_trace
MOEL-2022-I1-01,019,고용노동부,2022,Ⅰ,Ⅰ-1,,고용창출,15~64세 고용률,15~64세 고용률,%,,66.4,68.5,103.2,,15~64세 고용률,,,66.4,66.4,66.4,예산 변경,2022년도 성과보고서_고용노동부-174-222.pdf,38,211,,False,False,,15~64세 고용률,,66.4,68.5,103.2,66.4,66.4,66.4,68.5,68.5,103.2,103.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MATCH_AFTER_CHANGE,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,OCR_REQUIRED,OCR_REQUIRED,PLAN_TARGET_FROM_CHANGE_TABLE_ONLY;TARGET_CHANGE_REASON_DOCUMENTED_IN_별첨6,[계획서] 2022년도 성과계획서_고용노동부-201-249.pdf ?쪽(원본 ?쪽) / [별첨6 변경표] 2022년도 성과보고서_고용노동부-174-222.pdf 38쪽(원본 211쪽),,,,,2022년도 성과계획서_고용노동부-201-249.pdf,,,,,2022년도 성과보고서_고용노동부.pdf,38,38,,"104.6
15~64세 고용률
(%)
ㅇ 측정산식 : (만15세 이상 취업자
수/만15세 이상 인구)*100
목표
신규
신규
신규
66.4
실적
신규
신규
신규
68.5
달성률(%)
-
-
-
103.2",plan:별첨6만;plan_method:TEXT;report_method:FULL_TEXT
MOEL-2022-I1-02,019,고용노동부,2022,Ⅰ,Ⅰ-1,,고용창출,상용직 근로자비율,상용직 근로자비율,%,,69.8,73,104.6,,상용직 근로자비율,,,69.8,69.8,69.8,예산 변경,2022년도 성과보고서_고용노동부-174-222.pdf,38,211,,False,False,,상용직 근로자비율,,69.8,73.0,104.6,69.8,69.8,69.8,73.0,73.0,104.6,104.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MATCH_AFTER_CHANGE,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,OCR_REQUIRED,OCR_REQUIRED,PLAN_TARGET_FROM_CHANGE_TABLE_ONLY;TARGET_CHANGE_REASON_DOCUMENTED_IN_별첨6,[계획서] 2022년도 성과계획서_고용노동부-201-249.pdf ?쪽(원본 ?쪽) / [별첨6 변경표] 2022년도 성과보고서_고용노동부-174-222.pdf 38쪽(원본 211쪽),,,,,2022년도 성과계획서_고용노동부-201-249.pdf,,,,,2022년도 성과보고서_고용노동부.pdf,38,38,,"상용직 
근로자비율
(%)
ㅇ 측정산식 : 상용근로자 수 / 임
금근로자 수 × 100
목표
신규
신규
신규
69.8
실적
신규
신규
신규
73.0
달성률(%)
-
-
-
104.6",plan:별첨6만;plan_method:TEXT;report_method:FULL_TEXT
MOEL-2022-I1-03,019,고용노동부,2022,Ⅰ,Ⅰ-1,,고용창출,청년고용률,청년고용률,%,,42.5,46.6,109.6,,청년고용률,,,42.5,42.5,42.5,예산 변경,2022년도 성과보고서_고용노동부-174-222.pdf,38,211,,False,False,,청년고용률,,42.5,46.6,109.6,42.5,42.5,42.5,46.6,46.6,109.6,109.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MATCH_AFTER_CHANGE,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,OCR_REQUIRED,OCR_REQUIRED,PLAN_TARGET_FROM_CHANGE_TABLE_ONLY;TARGET_CHANGE_REASON_DOCUMENTED_IN_별첨6,[계획서] 2022년도 성과계획서_고용노동부-201-249.pdf ?쪽(원본 ?쪽) / [별첨6 변경표] 2022년도 성과보고서_고용노동부-174-222.pdf 38쪽(원본 211쪽),,,,,2022년도 성과계획서_고용노동부-201-249.pdf,,,,,2022년도 성과보고서_고용노동부.pdf,38,38,,"103.2
청년고용률
(%)
ㅇ 측정산식: 고용률(%)=(청년취업자
/청년층 인구)×100
목표
신규
신규
신규
42.5
실적
신규
신규
신규
46.6
달성률(%)
-
-
-
109.6",plan:별첨6만;plan_method:TEXT;report_method:FULL_TEXT
MOEL-2022-I1-04,019,고용노동부,2022,Ⅰ,Ⅰ-1,,고용창출,청년공제 가입자의 2년 이상 고용(공제)유지율,청년공제 가입자의 2년 이상 고용(공제)유지율,%,,63.1,69.7,110.5,,청년공제 가입자의 2년 이상 고용(공제)유지율,,,63.1,63.1,63.1,예산 변경,2022년도 성과보고서_고용노동부-174-222.pdf,38,211,,False,False,,청년공제 가입자의 2년 이상 고용(공제)유지율,,63.1,69.7,110.5,63.1,63.1,63.1,69.7,69.7,110.5,110.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MATCH_AFTER_CHANGE,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,OCR_REQUIRED,OCR_REQUIRED,PLAN_TARGET_FROM_CHANGE_TABLE_ONLY;TARGET_CHANGE_REASON_DOCUMENTED_IN_별첨6,[계획서] 2022년도 성과계획서_고용노동부-201-249.pdf ?쪽(원본 ?쪽) / [별첨6 변경표] 2022년도 성과보고서_고용노동부-174-222.pdf 38쪽(원본 211쪽),,,,,2022년도 성과계획서_고용노동부-201-249.pdf,,,,,2022년도 성과보고서_고용노동부.pdf,38,38,,"2년이상 고용 
(공제) 유지율(%)
ㅇ 측정산식: (t-2)년 청년공제 가입자 
중 2년 이상 유지자수(만기자 포함) 
/(t-2)년 청년공제 가입인원(철회・취소 
제외)×100, t:당해연도
목표
신규
신규
신규
63.1
실적
신규
신규
신규
69.7
달성률(%)
-
-
-
110.5",plan:별첨6만;plan_method:TEXT;report_method:FULL_TEXT
MOEL-2022-I2-01,019,고용노동부,2022,Ⅰ,Ⅰ-2,,장애인고용증진,근로지원인 수혜장애인 비율,근로지원인 수혜장애인 비율,%,,1.35,1.89,113.9,,근로지원인 수혜장애인 비율,,,1.66,1.35,1.66,"목표 산정근거('20년도 말 15세 이상 중증장애인수 (792,521명) 대비 ’21년도 말 근로지원인 수혜인원(12,407명) 비율 1.56%에 의욕치인 0.1%p를 부여하여, 1.66%(수혜장애인수",2022년도 성과보고서_고용노동부-174-222.pdf,39,212,,False,False,,근로지원인 수혜장애인 비율,,1.66,1.89,113.9,1.35,1.66,1.66,1.89,1.89,113.9,113.9,,0.30999999999999983,22.962962962962948,0.30999999999999983,22.962962962962948,0.0,0.0,0.0,0.0,0.0,MATCH_AFTER_CHANGE,VALUE_MISMATCH,EXACT_MATCH,MATCH_AFTER_CHANGE,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,OCR_REQUIRED,OCR_REQUIRED,PLAN_TARGET_FROM_CHANGE_TABLE_ONLY;TARGET_CHANGE_REASON_DOCUMENTED_IN_별첨6;REPORT_TARGET_CHANGE_CONFIRMED_BY_별첨6,[계획서] 2022년도 성과계획서_고용노동부-201-249.pdf ?쪽(원본 ?쪽) / [보고서] 2022년도 성과보고서_고용노동부.pdf 66쪽(원본 66쪽) / [별첨6 변경표] 2022년도 성과보고서_고용노동부-174-222.pdf 39쪽(원본 212쪽),,,,,2022년도 성과계획서_고용노동부-201-249.pdf,,,,,2022년도 성과보고서_고용노동부.pdf,66,66,,"근로지원인 
수혜장애인 비율
(%)
ㅇ 측정산식: (근로지원인 수혜장애인
수 / 15세 이상 중증장애인수) × 100 
▪ 측정방법
- 측정대상기간: ’22. 1. 1. ~ ’22. 
12. 31.
- 실적치 집계 완료 시점 : ’23. 1월
말 예정
- 측정수행기관: 한국장애인고용공단 
- 측정대상 표본수 및 선정방법: 근로
지원인 수혜인원 전수 조사
목표
신규
신규
신규
1.66
실적
신규
신규
신규
1.89
달성률(%)
-
-
-
113.9",plan:별첨6만;plan_method:TEXT;report_method:FULL_TEXT
MOEL-2022-I2-02,019,고용노동부,2022,Ⅰ,Ⅰ-2,,장애인고용증진,의무고용사업체의 장애인고용률,의무고용사업체의 장애인고용률,%,,3.06,3.19,100.3,,의무고용사업체의 장애인고용률,,,3.18,3.06,3.18,'21년 실적(3.14) 감안하여 목표치 상향조정 타당,2022년도 성과보고서_고용노동부-174-222.pdf,39,212,,False,False,,의무고용사업체의 장애인고용률,,3.18,3.19,100.3,3.06,3.18,3.18,3.19,3.19,100.3,100.3,,0.1200000000000001,3.921568627450984,0.1200000000000001,3.921568627450984,0.0,0.0,0.0,0.0,0.0,MATCH_AFTER_CHANGE,VALUE_MISMATCH,EXACT_MATCH,MATCH_AFTER_CHANGE,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,OCR_REQUIRED,OCR_REQUIRED,PLAN_TARGET_FROM_CHANGE_TABLE_ONLY;TARGET_CHANGE_REASON_DOCUMENTED_IN_별첨6;REPORT_TARGET_CHANGE_CONFIRMED_BY_별첨6,[계획서] 2022년도 성과계획서_고용노동부-201-249.pdf ?쪽(원본 ?쪽) / [보고서] 2022년도 성과보고서_고용노동부.pdf 65쪽(원본 65쪽) / [별첨6 변경표] 2022년도 성과보고서_고용노동부-174-222.pdf 39쪽(원본 212쪽),,,,,2022년도 성과계획서_고용노동부-201-249.pdf,,,,,2022년도 성과보고서_고용노동부.pdf,65,65,,"의무고용사업체의 
장애인고용률
(%)
ㅇ 측정산식 : 의무고용사업체 해당
연도 6월말 장애인수 / 의무고용사업
체 해당연도 6월말 상시근로자수 × 
100
목표
2.89
2.94
3.03
3.18
실적
2.92
3.02
3.14
3.19
달성률(%)
101.0
102.7
103.6
100.3",plan:별첨6만;plan_method:TEXT;report_method:FULL_TEXT
MOEL-2022-II1-01,019,고용노동부,2022,Ⅱ,Ⅱ-1,,직업능력개발,K-Digital Training 수료율,K-Digital Training 수료율,%,,89.2,89.7,101.9,,K-Digital Training 수료율,,,88.0,89.2,88.0,"훈련의 품질 향상을 위한 도전적 목표치 설정의 필요성 및 '20년 수료율(88.2%)을 고려하여, '22년 목표치는 '21년 수료율이 87%로 확정됨에 따라, '22년 목표 수료율을 88%(1%p 향상)로 설정하고자 함",2022년도 성과보고서_고용노동부-174-222.pdf,39,212,,False,False,,K-Digital Training 수료율,,88.0,89.7,101.9,89.2,88.0,88.0,89.7,89.7,101.9,101.9,,-1.2000000000000028,-1.345291479820631,-1.2000000000000028,-1.345291479820631,0.0,0.0,0.0,0.0,0.0,MATCH_AFTER_CHANGE,VALUE_MISMATCH,EXACT_MATCH,MATCH_AFTER_CHANGE,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,OCR_REQUIRED,OCR_REQUIRED,PLAN_TARGET_FROM_CHANGE_TABLE_ONLY;TARGET_CHANGE_REASON_DOCUMENTED_IN_별첨6;REPORT_TARGET_CHANGE_CONFIRMED_BY_별첨6,[계획서] 2022년도 성과계획서_고용노동부-201-249.pdf ?쪽(원본 ?쪽) / [보고서] 2022년도 성과보고서_고용노동부.pdf 79쪽(원본 79쪽) / [별첨6 변경표] 2022년도 성과보고서_고용노동부-174-222.pdf 39쪽(원본 212쪽),,,,,2022년도 성과계획서_고용노동부-201-249.pdf,,,,,2022년도 성과보고서_고용노동부.pdf,79,79,,"K-Digital Training 
수료율
(%)
  ㅇ 측정산식 : 훈련수료인원/(훈
련참여인원-조기취업인원-불가피한 
사유로 인해 수료가 불가능한 인
원) × 100
   ▪ 측정방법
    - 
측정대상기간 
: 
당해연도 
1.1.~12.31. 종료된 훈련과정 기준
    - 실적치 집계 완료 시점 : 익
년도 1월말~2월초
    - 측정수행기관 : HRD-Net 전
산확인, 한국고용정보원
목표
신규
신규
88.2
88.0
실적
신규
신규
87.0
89.7
달성률(%)
-
-
98.6
101.9",plan:별첨6만;plan_method:TEXT;report_method:FULL_TEXT
MOEL-2022-II1-02,019,고용노동부,2022,Ⅱ,Ⅱ-1,,직업능력개발,폴리텍 하이테크과정 취업률(%),폴리텍 하이테크과정 취업률(%),%,,73,81.7,111.9,,폴리텍 하이테크과정 취업률(%),,,73,73,73,예산 변경,2022년도 성과보고서_고용노동부-174-222.pdf,39,212,,False,False,,폴리텍 하이테크과정 취업률(%),,73,81.7,111.9,73.0,73.0,73.0,81.7,81.7,111.9,111.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MATCH_AFTER_CHANGE,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,OCR_REQUIRED,OCR_REQUIRED,PLAN_TARGET_FROM_CHANGE_TABLE_ONLY;TARGET_CHANGE_REASON_DOCUMENTED_IN_별첨6,[계획서] 2022년도 성과계획서_고용노동부-201-249.pdf ?쪽(원본 ?쪽) / [별첨6 변경표] 2022년도 성과보고서_고용노동부-174-222.pdf 39쪽(원본 212쪽),,,,,2022년도 성과계획서_고용노동부-201-249.pdf,,,,,2022년도 성과보고서_고용노동부.pdf,79,79,,"하이테크과정 
취업률(%)
(%)
  ㅇ 측정산식 : 취업자/취업대상자
×100
   - 취업자 : 고용보험 및 기타 3대 
보험 가입자, 자영업자(증빙포함)
   - 취업대상자 : 수료자-평가제
외자
      * 수료자 : 해당연도 2월 수
료생(전년도 9월, 12월 수료생 포함)
      * 평가제외자 : 진학자, 입대자, 
수형자, 사망자, 해외이민자, 장기
입원, 출산예정자 
 ▪ 측정방법
    - 측정대상기간 :해당 수료 연
도 3.31. 시점
    - 
실적치 
집계 
완료 
시점 
: 
’23.2월말 예정
    - 측정수행기관 : 학교법인 한
국폴리텍
    - 측정대상 표본수 및 선정방법
        : 전수조사(51개 학과)
목표
신규
신규
72
73
실적
신규
신규
84
81.7
달성률(%)
-
-
116.7
111.9",plan:별첨6만;plan_method:TEXT;report_method:FULL_TEXT
MOEL-2022-II1-03,019,고용노동부,2022,Ⅱ,Ⅱ-1,,직업능력개발,일학습병행 학습근로자 수,일학습병행 학습근로자 수,명,,120000,132005,101.5,,일학습병행 학습근로자 수,,,"130,000","120,000","130,000","21년 학습근로자수(118,155명, 누적) 감안하여 목표치 상항",2022년도 성과보고서_고용노동부-174-222.pdf,39,212,,False,False,,일학습병행 학습근로자 수,,"130,000","132,005",101.5,120000.0,130000.0,130000.0,132005.0,132005.0,101.5,101.5,,10000.0,8.333333333333332,10000.0,8.333333333333332,0.0,0.0,0.0,0.0,0.0,MATCH_AFTER_CHANGE,VALUE_MISMATCH,EXACT_MATCH,MATCH_AFTER_CHANGE,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,OCR_REQUIRED,OCR_REQUIRED,PLAN_TARGET_FROM_CHANGE_TABLE_ONLY;TARGET_CHANGE_REASON_DOCUMENTED_IN_별첨6;REPORT_TARGET_CHANGE_CONFIRMED_BY_별첨6,[계획서] 2022년도 성과계획서_고용노동부-201-249.pdf ?쪽(원본 ?쪽) / [보고서] 2022년도 성과보고서_고용노동부.pdf 80쪽(원본 80쪽) / [별첨6 변경표] 2022년도 성과보고서_고용노동부-174-222.pdf 39쪽(원본 212쪽),,,,,2022년도 성과계획서_고용노동부-201-249.pdf,,,,,2022년도 성과보고서_고용노동부.pdf,80,80,,"일학습병행 
학습근로자 수
(명)
 ㅇ 측정산식 : 일학습병행에 참여
한 학습근로자 수
 ▪ 측정방법 (자료수집 방법/출처)
   - 
측정대상기간 
: 
사업시작일
∼’22.12월
   - 실적치 집계 완료 시점 : ‘23.2월
   - 측정수행기관 : 한국산업인력공단
    - 측정대상 표본수 및 선정방법 
: 전수조사(HRD-NET 전산 확인)
목표
80,000
100,000
110,000
130,000
실적
90,696
104,967
118,155
132,005
달성률(%)
113.4
105.0
107.4
101.5",plan:별첨6만;plan_method:TEXT;report_method:FULL_TEXT
MOEL-2022-II2-01,019,고용노동부,2022,Ⅱ,Ⅱ-2,,고용안전망확충,고용보험 피보험자 수,고용보험 피보험자 수,천명,,17000,15555,99.5,,고용보험 피보험자 수,,,"15,640",17000,"15,640","코로나19 긴급 고용안정지원금으로 예산증액(8,000억원)되었으나, 이는 코로나19 장기화에 따른 고용상황 악화에 대응하여 고용보험 사각지대의 특고·프리랜서 등에 대한 긴급지원으로 본 지표와는",2022년도 성과보고서_고용노동부-174-222.pdf,40,213,,False,False,,고용보험 피보험자 수,,"15,640","15,555",99.5,17000.0,15640.0,15640.0,15555.0,15555.0,99.5,99.5,,-1360.0,-8.0,-1360.0,-8.0,0.0,0.0,0.0,0.0,0.0,MATCH_AFTER_CHANGE,VALUE_MISMATCH,EXACT_MATCH,MATCH_AFTER_CHANGE,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,OCR_REQUIRED,OCR_REQUIRED,PLAN_TARGET_FROM_CHANGE_TABLE_ONLY;TARGET_CHANGE_REASON_DOCUMENTED_IN_별첨6;REPORT_TARGET_CHANGE_CONFIRMED_BY_별첨6,[계획서] 2022년도 성과계획서_고용노동부-201-249.pdf ?쪽(원본 ?쪽) / [보고서] 2022년도 성과보고서_고용노동부.pdf 90쪽(원본 90쪽) / [별첨6 변경표] 2022년도 성과보고서_고용노동부-174-222.pdf 40쪽(원본 213쪽),,,,,2022년도 성과계획서_고용노동부-201-249.pdf,,,,,2022년도 성과보고서_고용노동부.pdf,90,90,,"(천명)
ㅇ 고용보험 피보험자수= (n-1)년 
12.31. 
기준 
취득자수 
+ 
n년 
신규취득자수 - n년 신규상실자수
목표
13,748
14,280
14,535
15,640
실적
13,864
14,111
14,550
15,555
달성률(%)
100.8
98.8
100.1
99.5",plan:별첨6만;plan_method:TEXT;report_method:FULL_TEXT
